attraction_name,Rating,description,Best Time To Visit,country
Singapore National Day,NaN,"""One Heart, One Nation, One Singapore."" Celebrated each year on August 9, the National Day of Singapore is the celebration of Singapore's freedom from Malaysia in 1965. The celebrations begin with a National Day Parade and end with beautiful fireworks. Held at the Marina Bay, National Day celebrations involve an address by the Prime Minister, followed by a dazzling show of fireworks. While the National Day of Singapore is celebrated on 9th August each year, the rehearsals for it begins atleast 3 to 4 months in advance and the preview shows begin around two weeks in advance.",,singapore
Resorts World Sentosa,NaN,"Resorts World Sentosa, also known as RWS, is one of Asia’s premium integrated resort situated in the Sentosa island. A Singaporean lifestyle destination, it is known to be the third most expensive building. The resort comprises of two casinos, Adventure Cove Water Park, Universal Studios, Dolphin Island, SEA Aquarium (known to be world’s second-largest oceanarium), a world-renowned spa, and the Maritime Experiential Museum.",,singapore
Navratri,NaN,"Navarathri. The beautiful Indian festival that brings the entire city together in harmony and merriment. During this festival, Singapore is lit with bright candles, vibrant diyas and glittering lanterns. People are dressed in colourful ethnic wear, and the air is filled with the sounds of melodious beats, the scent of burning incense, and the wafting smell of delicious food. The city is decked with scintillating colours in the form of flowers and lanterns and different varieties of spicy Indian food. Navarathri is one of the festivals which show how Singapore is a multicultural city, when all the citizens, be it Indian or otherwise, come together and forget all their differences to immerse themselves in celebration.",,singapore
Green Corridor,24,"Singapore's Green Corridor is one of the best walking trails in Singapore, steeped in heritage, nature and sunshine amidst its unimpaired paths. A 26-kilometre stretch of railway line that once used to connect the Malaysian Peninsula to Singapore, the trail has now been revamped to give visitors a taste of the natural vegetation and greenery of the country. While parts of the tracks have been removed to facilitate easy walking, some parts have been kept intact to give hikers a feel of what the track used to be like. Stretching from old Tanjong Pagar Rail Station in the south all the way to the Woodlands Checkpoint in the north, the now-unused line is an uninterrupted stretch of greenery that is used as a jogging track.",,singapore
Punggol Beach,2.4,"A place laden with history, Punggol beach and its surroundings has a lot to offer to all individuals that visit. Punggol beach is considered a historic site in the National Heritage Boards list of Historic Sites. The unique placement of the boulders along the soft sands of the beach makes it a beautiful and artful place. The beach is an ideal spot for photographers and people who enjoy walking along with a scenic view.",,singapore
Pu Ji Si Buddhist Research Centre,2.4,"The Pu Ji Si Buddhist Research Centre is a divine combination of an educational facility and house of worship, a serene 5-storeyed structure lying on Lorong 12 in the Geylang area of Singapore. This spiritual sanctuary serves as the new location for the Poh Jay Temple, where one can also find a library, classrooms, a multi-purpose hall and a tranquil rooftop garden in addition to the main shrine and meditation halls.",,singapore
Sri Muneeswaran Hindu Temple,2.4,"Sri Muneeswaran Temple, considered to be the largest shrine in Southeast Asia dedicated to Sri Muneeswaran, is situated on the Tanglin Halt Road at Commonwealth Drive Singapore. The grand temple gets its name from the merging of the two words: 'muni' meaning 'saint', and 'ishwar', signifying 'god'. Along with the presiding deity, Sri Muneeswaran Temple also includes the idols of several well-known Hindu gods like Lord Vinayagar, Sri Durgai Amman, Sri Ayappan, Sri Krishna and Sri Mariamman, to name a few. It is also said to be the only temple in Singapore to house the deities of Sri Naga Raja and Rani.",,singapore
"Land, Sea & Sky City Pass",NaN,"The Land, Sea and Sky is a package introduced by the CityTours, Singapore. This includes triple experience combining all land, sea and the sky! Covering all three dimensions in one single pass, this three-day package is a perfect way to discover Singapore's best tourist attractions. The Land attractions start off on the FunVee Open Top Bus. A one-day hopper offers FunVee City Hop on Hop off, Marina Sightseeing and the Sentosa Shuttle with unlimited use (within 1 day). This package also includes an admission ticket to Gardens by the Bay's Flower Dome, OCBC Skyway and the Cloud Forest. Along with this, a Singapore River Boat experience and a choice between the Marina Bay Sands Skypark or 1 Altitude Observatory Deck.",,singapore
Art-2 Gallery,2.4,"Singapore is the land of extraordinary artistic creations, and a number of them are showcased in the various art galleries within the city. From ancient to abstract, from modern to contemporary, these art galleries are no less than Paradise to art enthusiasts and it is no wonder that they are frequented by people all over the world. The Art-2 Gallery is among one of the pioneering art galleries of Singapore, situated at 140 Hill Street and specializes in ceramics, contemporary paintings and sculptures. Established in 1991, this magnificent gallery hosts bold exhibitions displaying bright, vibrant paintings and sculptures under the guidance of its director, Vera Ong. The various artworks displayed in this gallery give expression to the Southeast Asian art form.",,singapore
Jurong Hill Lookout Tower,2.4,"The places that are offbeat are usually the places to be, and the colossal Jurong Lookout Tower is an ideal example of this. Providing a panoramic view of the vibrant district of Jurong, this viewing tower stands at a towering height of eighteen metres.",,singapore
Jejawi Tower,2.4,"The Jejawi Tower stands at a soaring height of 20 metres and is situated at the Chek Jawa Wetlands in Singapore. The chirp of birds in the thick canopy of the lush forests, the chatter of monkeys up to some mischief, and the breathtaking view of the tropical forest and the ocean below are what make this place an ideal spot for nature enthusiasts.",,singapore
Istana Change Of Guards,2.4,"The Istana Park is located in front of the Presidential residence, Istana. A gateway to Singapore's Civic District Trail, the park is an education and information hub of Singapore's rich history. The main highlight of the park's main gateway is the Changing of Guards Ceremony that happens every month. Every month during the Ceremonial Changing of Guards, a squad of 20 guards from the Armed Military Forces Police Command takes over the duties of the former guards who were patrolling for the previous month, and a new unit of guards are stationed and signified by this ceremony.",,singapore
Large Reclining Figure,2.4,"The Large Reclining Figure is a sculpture - a flexuous-abstract-human figure, built by Henry Moore. Perceived mostly in a human form, the figure has a notch at the head that resembles a widely divided hoof. It is then followed by a narrowed torso with a suspended bosom. The left arm is rested on the ground while the right one is connected to a pelvis that is reclining on the ground. From the pelvis is an extended bone which represents a limb, stretching to one side.",,singapore
Thaipusam,2.4,"Celebrated by the Tamil population of Singapore, Thaipusam is a two-day festival dedicated to Lord Murugan - the Hindu God of war and epitomizes youth, power, and virtue. It falls on the day of the full moon during the Tamil month of Thai. Celebration of Thaipusam in Singapore involves early morning prayers, asceticism, self-control, processions and piercings.",,singapore
Abundance III Sculpture,2.4,"A piece of awe-inspiring art, the wonderful Abundance III sculpture is a huge bronze ring which adds an unusual charm to Suntec City, Singapore. Constructed in 1995, this illusionistic ring was sculpted by Sun Yu-Li, the former Singaporean architect who had given up architecture in order to pursue his love for sculpting.",,singapore
